id_host_anon,id_listing_anon,room_type,listing_neighborhood,listing_bookings,total_reviews,total_guests,total_interactions,average_booking_time_hrs,booking_rate
b4e5aee5-0b14-4b1c-8d70-b1d5df65082b,58ea7e3d-c368-4d44-8679-5b7e3274b6c0,Private room,Leblon,6.0,371.0,13.0,53,1.9290123456790124e-06,0.8571428571428571
6757046d-90ef-4b42-b678-d96c930ae967,2c3e5452-ba6e-4540-9e9d-507ec8e86354,Entire home/apt,Vigário Geral,0.0,0.0,2.0,2,,0.0
32f36601-e252-4e6d-b6b6-998fa0e9f3d1,b8b9f3af-2854-49a0-ada6-e12a1d794239,Entire home/apt,-unknown-,1.0,18.0,63.0,60,1.0555092592592592,0.16666666666666666
72acb4ce-6c9f-4b92-bbff-a921dc9260ae,97357f93-7c1a-4502-863d-91990483062a,Entire home/apt,-unknown-,12.0,238.0,24.0,104,0.0005960648148148148,0.8571428571428571
c3f50163-2d40-499e-91bc-3d0a31608abf,1e02cb2e-4dbb-4567-907b-5ddb0792c0f2,Entire home/apt,-unknown-,0.0,0.0,7.0,27,,0.0
affff9cb-73fe-4b01-af0f-a4b475dcc3ba,9658e3fe-303b-4a84-bb74-20850f42745c,Private room,-unknown-,2.0,16.0,7.0,44,0.37755787037037036,0.5
8d2caafa-2b07-4bbe-89f8-62750749027f,7c474a26-4cb6-4f88-bcd2-8d55a27303e5,Entire home/apt,-unknown-,2.0,8.0,5.0,36,1.736111111111111e-05,1.0
f41f44d8-539f-411d-bad3-2beb2903f06a,e192d5a3-736d-498e-b721-52d6f49e2a95,Private room,Copacabana,3.0,0.0,3.0,72,0.041184413580246916,1.0
59a36756-6263-41f6-8cc8-d27e69ea2b09,a25e00c3-f4bc-4f31-99d8-4d782366bb70,Private room,Leblon,2.0,2.0,4.0,49,1.0099537037037036,1.0
57f9dc9c-b0cc-494f-8481-e609768dc43f,b48fb06a-0151-41c8-a23b-7043f0a24c95,Entire home/apt,Humaitá,0.0,0.0,8.0,5,,0.0
01b59ac6-9471-408d-b1a8-4a17da48b7e2,2ea17ee8-656e-4a43-854b-8e75158f3ee8,Shared room,-unknown-,0.0,0.0,1.0,2,,0.0
673b3cce-7ca7-4876-a833-9269f1b317e5,d3c3773f-452b-4f35-ad4a-649a43234179,Entire home/apt,Leblon,3.0,35.0,14.0,38,0.00939429012345679,0.6
6aa2c977-24bc-4f42-954c-780d5003d42f,11d281cc-b42e-48ae-aa11-7a8be62e5ced,Entire home/apt,Copacabana,2.0,54.0,6.0,60,0.4401157407407408,0.6666666666666666
139ce3fd-2920-428e-b8bf-e0fc9362e9ce,9132ef89-f8f1-4944-b833-792e9125ff57,Private room,Ipanema,0.0,0.0,4.0,6,,0.0
01614601-d5a4-4776-ab9b-c10d3b865bf0,ea58ab8b-b4a3-43dc-9564-564909bb63bc,Entire home/apt,Copacabana,0.0,60.0,18.0,17,,0.0
a1bf047f-c9ae-4f56-94a3-1d1e46e5917a,448a0d09-608f-4ba7-8cea-a5ee41f4b9d4,Entire home/apt,-unknown-,0.0,0.0,1.0,20,,0.0
a5df86c8-7dbd-4fdb-832a-b0b2d00f7154,e79d8bda-4c37-4c24-945a-40f62cdcd7ed,Entire home/apt,-unknown-,0.0,0.0,15.0,18,,0.0
43613c4e-64c3-4db7-9afa-64fb804eedc7,9a40b16a-1b2f-4aae-a117-0ebe7f4cbb42,Entire home/apt,-unknown-,0.0,0.0,5.0,14,,0.0
d80fb74c-6bb6-41f4-9b59-1a811ab71377,fe9cec0b-f121-480b-967e-deb5f8bdc64d,Entire home/apt,Ipanema,0.0,0.0,7.0,11,,0.0
2e97b386-c436-4aa7-8d47-9fb678533066,7368aaf3-a0af-4e4e-864e-f583661fdfad,Entire home/apt,Copacabana,0.0,0.0,23.0,12,,0.0
4649fbec-e93e-4dc9-ab33-18a25f9e79cb,3da4d013-209b-4338-92c6-d774782f84fb,Entire home/apt,Barra da Tijuca,0.0,0.0,2.0,12,,0.0
17ed152d-17d3-4b1d-a9c9-b8ff6ac2d6bf,a506f74f-291a-498a-9e36-ffbe6bf35141,Private room,-unknown-,0.0,0.0,5.0,11,,0.0
129e8b3d-9020-40ff-9110-19de81408986,b4a512c7-8a5e-431d-9dd7-254265c3b43b,Entire home/apt,-unknown-,1.0,180.0,42.0,62,0.10653935185185184,0.1
33f4ee0d-5006-4a6f-98f5-23b1e1032ba6,db5daf6a-e0f8-462b-be20-7037aa5d563e,Entire home/apt,Copacabana,0.0,75.0,10.0,16,,0.0
0847cb60-f42c-4b1c-96ba-77b523f9454d,95321241-bb3b-4d50-bb28-b1864ef1f612,Private room,-unknown-,0.0,0.0,2.0,3,,0.0
bb470a13-dd45-4dd7-9290-ce9c75e6954c,22f46469-a3da-4ee3-bb2b-17d55b4f409a,Entire home/apt,Copacabana,0.0,0.0,2.0,5,,0.0
4d15fdcb-dbd7-4c58-bb58-933e9c2c7c99,647a0464-9566-4858-a55a-7b56cda63248,Entire home/apt,Botafogo,0.0,9.0,44.0,32,,0.0
fb78c5fc-4de2-4cb0-8f01-effd2f2605b9,4e535b12-e891-4bf5-8b72-fdb3f39dc7d3,Entire home/apt,-unknown-,0.0,0.0,2.0,3,,0.0
